"Outcome","Home","OrderType","RankAdvantage","BatAdvantage","BowlAdvantage"
1,"neutral","2nd. night",0.58,0.47,0.36
1,"neutral","2nd. night",0.37,0.33,0.26
1,"home","2nd. night",0.78,0.74,0.61
1,"neutral","2nd. day",0.65,0.63,0.76
0,"neutral","1st. night",-0.71,-0.26,-0.38
0,"neutral","1st. night",-0.02,0.16,-0.04
1,"neutral","1st. night",0.27,0.33,0.32
0,"away","1st. night",0.02,-0.15,-0.01
1,"home","1st. night",0.02,-0.03,0.01
0,"away","1st. night",0.13,0.11,0.02
1,"home","1st. night",0.1,-0.01,-0.09
0,"away","1st. night",-0.11,-0.19,0.06
1,"home","1st. night",-0.39,0.04,-0.03
0,"away","1st. night",0.39,-0.04,0.03
0,"away","1st. night",0.39,-0.04,0.03
1,"home","1st. night",0.32,0.13,0.02
1,"home","2nd. night",0.32,0.13,0.02
0,"away","2nd. night",0.14,0.18,0.09
1,"away","1st. night",0.14,0.18,0.09
0,"home","1st. day",-0.14,-0.18,-0.09
0,"away","1st. night",0.14,0.18,0.09
1,"home","1st. night",-0.17,-0.19,-0.23
1,"home","2nd. day",-0.14,-0.18,-0.09
0,"away","1st. night",0.17,0.19,0.28
0,"home","2nd. night",-0.17,-0.19,-0.28
0,"home","2nd. day",-0.56,-0.36,-0.26
0,"home","1st. night",-0.13,-0.12,-0.15
1,"away","2nd. day",-0.15,0.06,-0.35
0,"home","2nd. day",-0.56,-0.36,-0.26
0,"away","1st. night",0.13,0.12,0.15
0,"home","2nd. day",-0.56,-0.36,-0.26
0,"away","1st. night",0.13,0.12,0.15
0,"away","1st. night",-0.15,0.06,-0.35
1,"away","1st. night",-0.15,0.06,-0.35
0,"home","1st. night",0.15,0.0001,0.35
1,"home","1st. night",0.15,-0.06,0.35
1,"home","2nd. day",-0.55,-0.18,-0.08
0,"home","1st. day",-0.55,-0.18,-0.08
0,"home","2nd. day",-0.55,-0.18,-0.08
0,"away","2nd. night",0.03,-0.16,-0.19
0,"home","1st. day",-0.03,0.16,0.19
1,"home","1st. night",-0.03,0.16,0.19
1,"away","1st. day",0.61,0.36,0.36
1,"away","1st. night",0.24,0.27,-0.01
0,"home","2nd. day",-0.24,-0.27,0.01
1,"home","1st. night",-0.24,-0.27,0.01
0,"away","1st. day",0.21,0.27,-0.01
0,"home","1st. day",-0.21,-0.27,0.01
0,"home","2nd. day",-0.35,-0.07,-0.31
0,"away","2nd. day",0.35,0.07,0.31
1,"away","2nd. day",0.35,0.07,0.31
1,"away","1st. day",-0.04,-0.01,-0.06
1,"home","1st. night",0.04,0.01,0.06
0,"away","1st. day",-0.03,-0.21,0.07
1,"away","1st. day",-0.03,-0.21,0.07
1,"away","1st. night",-0.04,-0.01,-0.06
0,"away","1st. day",-0.03,-0.21,0.07
0,"home","1st. day",0.03,0.21,-0.07
1,"home","1st. night",0.04,0.01,0.06
0,"home","2nd. day",0.03,0.21,-0.07
1,"away","1st. night",-0.04,-0.01,-0.06
1,"home","2nd. night",0.12,-0.06,-0.04
0,"away","1st. night",-0.12,0.06,0.04
0,"away","2nd. night",-0.4,-0.15,-0.35
1,"home","2nd. night",0.12,-0.06,-0.04
0,"away","2nd. night",-0.4,-0.15,-0.35
1,"home","1st. night",0.4,0.15,0.35
0,"neutral","1st. night",0.08,-0.05,-0.83
1,"neutral","1st. night",0.08,-0.05,0.02
0,"neutral","1st. night",-0.08,0.05,-0.02
1,"neutral","1st. night",0.08,-0.05,0.02
1,"neutral","1st. night",-0.03,-0.21,0.07
0,"away","1st. day",-0.05,-0.11,0.13
0,"away","1st. day",-0.05,-0.11,0.13
0,"neutral","1st. night",0.03,0.21,-0.07
0,"home","1st. day",0.05,0.11,-0.13
